iter	RMSE
0	10178.3309
1	9941.040826
2	9709.988114
3	9488.980462
4	9278.019752
5	9068.135921
6	8868.664627
7	8676.406523
8	8493.700422
9	8311.061867
10	8134.101709
11	7965.381117
12	7804.840334
13	7646.443817
14	7496.320753
15	7352.506969
16	7210.407758
17	7069.65489
18	6938.999775
19	6811.350298
20	6688.9998
21	6568.266867
22	6453.71269
23	6342.134831
24	6233.837967
25	6130.156411
26	6033.880443
27	5936.567946
28	5846.153948
29	5757.960548
30	5673.270781
31	5589.567985
32	5510.140272
33	5434.493639
34	5361.290366
35	5290.745333
36	5223.31697
37	5156.714223
38	5091.132341
39	5031.703328
40	4971.393172
41	4915.47282
42	4858.142243
43	4805.193818
44	4754.096651
45	4702.978446
46	4653.889381
47	4608.385269
48	4563.195014
49	4520.451282
50	4481.780453
51	4441.688301
52	4404.661927
53	4365.43786
54	4329.538741
55	4297.551467
56	4267.405872
57	4234.910887
58	4204.629494
59	4173.27997
60	4145.147558
61	4117.630523
62	4090.813028
63	4065.140318
64	4040.169242
65	4015.649663
66	3993.113726
67	3971.003275
68	3950.662
69	3930.35723
70	3910.432868
71	3890.472519
72	3871.594581
73	3850.922596
74	3832.573369
75	3817.003235
76	3799.978307
77	3783.900537
78	3766.708673
79	3751.330015
80	3737.141231
81	3722.191952
82	3707.535379
83	3695.876979
84	3684.480891
85	3669.852398
86	3658.004115
87	3645.166429
88	3633.409382
89	3621.347442
90	3609.773853
91	3599.655182
92	3587.979812
93	3577.441356
94	3565.580036
95	3556.626298
96	3545.795843
97	3536.193495
98	3526.700533
99	3518.498924
100	3508.595993
101	3500.805763
102	3491.528019
103	3483.826534
104	3476.575175
105	3469.267439
106	3461.643905
107	3452.717917
108	3445.401196
109	3437.7666
110	3431.076021
111	3423.879692
112	3416.978635
113	3409.429768
114	3402.046235
115	3396.537114
116	3390.579604
117	3384.275908
118	3377.430023
119	3371.873179
120	3366.098449
121	3361.077921
122	3355.887906
123	3349.871987
124	3344.611307
125	3339.757964
126	3335.123041
127	3330.425424
128	3326.496482
129	3322.155396
130	3318.013611
131	3314.027071
132	3310.283051
133	3305.589174
134	3301.623388
135	3297.927441
136	3293.241784
137	3289.050385
138	3285.276087
139	3282.18118
140	3278.654079
141	3274.525318
142	3270.646849
143	3266.232003
144	3263.421084
145	3259.872146
146	3256.75378
147	3253.278899
148	3249.729564
149	3246.346091
150	3243.716378
151	3241.008103
152	3238.572036
153	3235.822502
154	3233.047166
155	3229.863343
156	3227.137622
157	3224.315506
158	3221.747261
159	3220.058161
160	3218.142599
161	3216.01902
162	3214.385699
163	3212.365568
164	3210.022249
165	3207.715869
166	3204.741915
167	3202.567347
168	3200.437881
169	3198.296603
170	3196.84947
171	3194.486382
172	3192.447666
173	3190.595572
174	3189.137853
175	3188.217713
176	3186.251927
177	3184.119994
178	3182.392919
179	3181.042072
180	3179.122899
181	3177.245972
182	3173.956485
183	3172.208648
184	3171.290709
185	3169.71456
186	3167.430688
187	3167.204454
188	3165.76612
189	3164.146723
190	3162.034104
191	3160.169666
192	3158.130456
193	3156.4118
194	3156.202468
195	3154.447757
196	3152.351334
197	3151.119372
198	3149.60448
199	3146.632373
200	3145.357216
201	3145.200086
202	3143.556096
203	3141.859072
204	3140.634974
205	3139.670288
206	3138.540982
207	3137.177943
208	3135.677729
209	3134.062492
210	3132.860795
211	3131.491671
212	3130.146184
213	3128.678561
214	3128.019903
215	3126.429588
216	3125.982757
217	3124.670309
218	3124.298432
219	3123.688606
220	3122.874
221	3119.408781
222	3117.695104
223	3115.983891
224	3112.96792
225	3112.544514
226	3111.278435
227	3109.450014
228	3109.249707
229	3108.520691
230	3106.337664
231	3104.580933
232	3102.72681
233	3100.943129
234	3100.585411
235	3099.735094
236	3098.545796
237	3097.410701
238	3096.238122
239	3095.441186
240	3093.835502
241	3093.176998
242	3092.518682
243	3091.271195
244	3089.912385
245	3088.410002
246	3087.28108
247	3086.230587
248	3085.589081
249	3084.123301
250	3083.915837
251	3083.333339
252	3082.4029
253	3081.704358
254	3079.604768
255	3078.50732
256	3077.97065
257	3076.368758
258	3076.028495
259	3074.916105
260	3073.644831
261	3070.920441
262	3070.363867
263	3068.694639
264	3067.457934
265	3066.331352
266	3065.838695
267	3065.397065
268	3064.712969
269	3063.521566
270	3062.625872
271	3061.761636
272	3060.647727
273	3059.225654
274	3058.317868
275	3057.440107
276	3057.247303
277	3056.728187
278	3055.763729
279	3054.408878
280	3053.384973
281	3052.324329
282	3052.035579
283	3050.818762
284	3049.639848
285	3048.711905
286	3047.017451
287	3045.992889
288	3045.173547
289	3044.362097
290	3043.196176
291	3043.125462
292	3042.280034
293	3040.997091
294	3040.140208
295	3039.496686
296	3038.647309
297	3036.777814
298	3035.868042
299	3035.153442
300	3034.315766
301	3032.982018
302	3032.123276
303	3031.14781
304	3030.047211
305	3029.555265
306	3029.00019
307	3027.426769
308	3026.49623
309	3025.484215
310	3025.380198
311	3023.874812
312	3022.518089
313	3021.57688
314	3020.673074
315	3020.16657
316	3019.556979
317	3019.248735
318	3018.530987
319	3017.337337
320	3016.172536
321	3015.831613
322	3015.205378
323	3014.135073
324	3014.041146
325	3012.825367
326	3011.683165
327	3011.404498
328	3010.970746
329	3010.86688
330	3009.752642
331	3009.05914
332	3008.728884
333	3007.949114
334	3007.658026
335	3006.761517
336	3006.631563
337	3005.621766
338	3004.738232
339	3003.065869
340	3002.66455
341	3002.557527
342	3001.398788
343	3000.343065
344	3000.249388
345	2999.565652
346	2999.474169
347	2998.300541
348	2997.396582
349	2996.620498
350	2995.863948
351	2995.234399
352	2994.869366
353	2993.913932
354	2993.197274
355	2992.904603
356	2992.700754
357	2991.96223
358	2991.084591
359	2990.700583
360	2990.040151
361	2988.31961
362	2987.583524
363	2987.480768
364	2986.491682
365	2985.632019
366	2985.131355
367	2984.371685
368	2984.123423
369	2984.024032
370	2983.287152
371	2982.332313
372	2981.696697
373	2981.546517
374	2981.269264
375	2980.923651
376	2979.847607
377	2979.711444
378	2979.61422
379	2978.464606
380	2978.22557
381	2977.366985
382	2977.227701
383	2976.732255
384	2976.614108
385	2976.533755
386	2975.604076
387	2975.510429
388	2974.291505
389	2973.900938
390	2972.904319
391	2971.730435
392	2971.654376
393	2971.548375
394	2971.456078
395	2970.34577
396	2969.878528
397	2968.301386
398	2968.224644
399	2967.375385
400	2967.302278
401	2967.233904
402	2966.419523
403	2965.911597
404	2965.853643
405	2965.077538
406	2964.996383
407	2963.978155
408	2963.390008
409	2962.75772
