iter	Passed	Remaining
0	104	681734
1	107	351338
2	110	241527
3	114	187384
4	118	155175
5	125	137222
6	131	123070
7	135	111061
8	139	101254
9	144	94527
10	149	88832
11	152	83103
12	155	78264
13	160	74970
14	164	71688
15	167	68470
16	171	65798
17	175	63676
18	179	61684
19	182	59660
20	186	57830
21	189	56194
22	193	54813
23	197	53583
24	200	52319
25	203	50984
26	207	50164
27	211	49286
28	214	48272
29	217	47301
30	223	46904
31	226	46102
32	230	45538
33	236	45320
34	240	44754
35	244	44144
36	247	43471
37	251	43112
38	255	42658
39	258	42092
40	284	45046
41	287	44548
42	291	44043
43	295	43707
44	300	43359
45	304	42955
46	312	43246
47	319	43170
48	323	42807
49	326	42412
50	330	42019
51	333	41675
52	338	41390
53	344	41338
54	348	41080
55	351	40768
56	355	40460
57	359	40191
58	363	39917
59	367	39681
60	370	39414
61	373	39083
62	377	38773
63	380	38530
64	384	38334
65	388	38074
66	391	37802
67	394	37531
68	399	37438
69	408	37795
70	413	37642
71	417	37481
72	421	37392
73	425	37203
74	428	36962
75	431	36723
76	435	36572
77	439	36418
78	442	36213
79	445	36006
80	449	35883
81	452	35683
82	456	35487
83	459	35344
84	463	35207
85	468	35150
86	471	35005
87	474	34831
88	479	34739
89	487	34937
90	490	34790
91	494	34702
92	499	34670
93	505	34654
94	508	34517
95	512	34408
96	516	34347
97	520	34205
98	530	34514
99	534	34462
100	538	34322
101	543	34295
102	550	34385
103	553	34290
104	558	34210
105	563	34206
106	566	34090
107	570	34007
108	573	33875
109	581	33973
110	586	33995
111	590	33878
112	593	33774
113	597	33687
114	600	33585
115	605	33516
116	611	33557
117	615	33508
118	620	33481
119	625	33449
120	629	33401
121	632	33300
122	635	33188
123	639	33091
124	643	33040
125	647	32960
126	651	32883
127	658	33005
128	662	32924
129	665	32821
130	668	32708
131	673	32728
132	678	32706
133	682	32633
134	687	32614
135	691	32565
136	695	32502
137	698	32407
138	702	32367
139	706	32303
140	710	32272
141	714	32214
142	719	32201
143	723	32149
144	727	32074
145	731	32032
146	735	32008
147	740	31995
148	744	31923
149	747	31852
150	750	31782
151	754	31737
152	758	31693
153	772	32030
154	788	32500
155	799	32742
156	806	32807
157	811	32770
158	816	32796
159	820	32724
160	834	33091
161	838	33003
162	841	32916
163	844	32834
164	847	32756
165	851	32696
166	854	32628
167	858	32560
168	865	32628
169	869	32590
170	874	32570
171	879	32558
172	883	32512
173	887	32478
174	891	32441
175	895	32379
176	898	32318
177	901	32243
178	905	32196
179	909	32161
180	913	32104
181	917	32066
182	922	32047
183	927	32036
184	930	31963
185	934	31945
186	939	31923
187	943	31898
188	950	31935
189	956	31961
190	971	32308
191	978	32361
192	985	32428
193	990	32400
194	994	32355
195	1000	32385
196	1004	32362
197	1011	32404
198	1016	32401
199	1021	32377
200	1028	32453
201	1031	32380
202	1037	32408
203	1046	32524
204	1051	32493
205	1057	32533
206	1061	32500
207	1066	32471
208	1077	32635
209	1081	32603
210	1087	32635
211	1091	32600
212	1095	32563
213	1101	32562
214	1104	32515
215	1108	32463
216	1111	32404
217	1115	32350
218	1118	32302
219	1122	32264
220	1128	32281
221	1134	32300
222	1138	32254
223	1142	32211
224	1152	32343
225	1156	32327
226	1160	32289
227	1167	32324
228	1171	32306
229	1185	32527
230	1189	32497
231	1197	32571
232	1201	32537
233	1205	32489
234	1208	32447
235	1212	32398
236	1216	32366
237	1224	32441
238	1229	32430
239	1234	32410
240	1238	32367
241	1242	32353
242	1246	32306
243	1251	32306
244	1258	32343
245	1262	32304
246	1265	32252
247	1269	32215
248	1273	32188
249	1277	32153
250	1280	32095
251	1283	32042
252	1290	32071
253	1294	32052
254	1298	32022
255	1303	32001
256	1307	31971
257	1310	31930
258	1314	31881
259	1318	31851
260	1321	31804
261	1325	31782
262	1330	31761
263	1334	31744
264	1338	31706
265	1342	31664
266	1345	31616
267	1348	31569
268	1351	31519
269	1354	31468
270	1357	31418
271	1360	31366
272	1364	31323
273	1367	31280
274	1370	31230
275	1373	31183
276	1376	31132
277	1379	31088
278	1383	31051
279	1386	31012
280	1390	30978
281	1393	30940
282	1397	30903
283	1400	30867
284	1404	30833
285	1407	30797
286	1412	30782
287	1415	30744
288	1419	30703
289	1421	30655
290	1425	30617
291	1428	30566
292	1431	30540
293	1436	30536
294	1440	30506
295	1444	30473
296	1447	30436
297	1453	30458
298	1456	30415
299	1461	30410
300	1465	30386
301	1470	30380
302	1473	30346
303	1476	30299
304	1479	30250
305	1482	30209
306	1486	30188
307	1490	30167
308	1493	30130
309	1497	30103
310	1501	30075
311	1506	30081
312	1510	30052
313	1514	30042
314	1519	30040
315	1523	30012
316	1526	29972
317	1530	29956
318	1535	29947
319	1539	29930
320	1543	29920
321	1548	29918
322	1554	29938
323	1558	29909
324	1562	29894
325	1566	29865
326	1569	29834
327	1573	29811
328	1579	29825
329	1582	29788
330	1587	29794
331	1592	29783
332	1597	29784
333	1602	29778
334	1609	29827
335	1614	29811
336	1618	29797
337	1622	29782
338	1625	29748
339	1629	29727
340	1635	29741
341	1639	29721
342	1644	29719
343	1649	29720
344	1653	29700
345	1657	29673
346	1660	29641
347	1664	29620
348	1667	29593
349	1671	29562
350	1674	29537
351	1678	29513
352	1681	29480
353	1684	29448
354	1687	29416
355	1693	29419
356	1696	29399
357	1700	29378
358	1703	29343
359	1709	29356
360	1715	29368
361	1718	29336
362	1721	29307
363	1725	29292
364	1729	29271
365	1734	29265
366	1738	29250
367	1742	29231
368	1746	29214
369	1751	29215
370	1754	29190
371	1764	29259
372	1773	29335
373	1778	29334
374	1781	29304
375	1785	29285
376	1791	29300
377	1795	29284
378	1798	29251
379	1803	29252
380	1808	29247
381	1812	29223
382	1816	29204
383	1820	29188
384	1823	29158
385	1827	29142
386	1833	29161
387	1837	29143
388	1840	29116
389	1845	29106
390	1851	29126
391	1857	29143
392	1862	29146
393	1866	29132
394	1871	29122
395	1876	29124
396	1882	29138
397	1885	29107
398	1888	29071
399	1892	29063
400	1896	29037
401	1900	29031
402	1904	29017
403	1908	28999
404	1911	28970
405	1918	29000
406	1922	28982
407	1929	29005
408	1933	28986
409	1937	28981
410	1942	28973
411	1946	28968
412	1953	28993
413	1957	28979
414	1963	28982
415	1967	28975
416	1971	28953
417	1976	28950
418	1982	28973
419	1986	28949
420	1989	28922
421	1993	28908
422	1998	28907
423	2002	28889
424	2006	28876
425	2011	28873
426	2016	28874
427	2019	28851
428	2023	28827
429	2029	28841
430	2032	28819
431	2035	28792
432	2039	28780
433	2044	28775
434	2048	28764
435	2053	28763
436	2057	28742
437	2060	28721
438	2065	28713
439	2071	28722
440	2078	28753
441	2081	28731
442	2086	28719
443	2090	28705
444	2094	28693
445	2098	28689
446	2102	28672
447	2106	28650
448	2110	28633
449	2115	28641
450	2118	28618
451	2126	28654
452	2131	28650
453	2135	28630
454	2138	28613
455	2143	28612
456	2150	28632
457	2153	28611
458	2157	28597
459	2161	28574
460	2166	28580
461	2170	28558
462	2174	28556
463	2180	28557
464	2184	28547
465	2187	28518
466	2191	28504
467	2194	28487
468	2198	28473
469	2202	28448
470	2206	28443
471	2210	28431
472	2214	28409
473	2216	28378
474	2221	28374
475	2224	28351
476	2230	28354
477	2234	28349
478	2238	28334
479	2241	28307
480	2244	28277
481	2247	28256
482	2251	28241
483	2255	28229
484	2258	28205
485	2261	28180
486	2264	28158
487	2268	28145
488	2272	28129
489	2275	28104
490	2279	28088
491	2286	28112
492	2289	28093
493	2292	28070
494	2296	28059
495	2301	28053
496	2304	28032
497	2309	28027
498	2317	28064
499	2322	28059
500	2325	28045
501	2330	28043
502	2336	28057
503	2341	28049
504	2346	28046
505	2349	28028
506	2353	28009
507	2359	28024
508	2363	28010
509	2366	27988
510	2369	27963
511	2373	27956
512	2377	27939
513	2380	27918
514	2387	27935
515	2391	27923
516	2393	27899
517	2396	27874
518	2401	27864
519	2409	27908
520	2413	27887
521	2416	27866
522	2419	27844
523	2422	27824
524	2426	27812
525	2436	27864
526	2439	27848
527	2444	27846
528	2448	27831
529	2454	27845
530	2458	27835
531	2462	27820
532	2466	27806
533	2471	27810
534	2476	27805
535	2483	27823
536	2487	27811
537	2490	27793
538	2493	27772
539	2496	27752
540	2500	27731
541	2503	27710
542	2508	27708
543	2513	27717
544	2521	27748
545	2526	27747
546	2530	27734
547	2535	27736
548	2539	27723
549	2546	27739
550	2551	27737
551	2554	27719
552	2558	27703
553	2563	27708
554	2566	27689
555	2570	27673
556	2574	27667
557	2579	27661
558	2582	27640
559	2586	27626
560	2592	27636
561	2595	27622
562	2600	27617
563	2607	27633
564	2612	27633
565	2618	27642
566	2624	27654
567	2627	27636
568	2631	27619
569	2636	27620
570	2645	27663
571	2649	27652
572	2653	27644
573	2656	27624
574	2661	27623
575	2665	27613
576	2671	27620
577	2677	27624
578	2680	27610
579	2685	27603
580	2689	27595
581	2692	27577
582	2696	27566
583	2701	27564
584	2706	27561
585	2710	27548
586	2714	27535
587	2719	27536
588	2723	27528
589	2733	27573
590	2739	27584
591	2743	27570
592	2750	27596
593	2759	27632
594	2764	27627
595	2767	27610
596	2771	27600
597	2774	27579
598	2778	27570
599	2787	27600
600	2790	27580
